
========================================================================
                       optimization routine : 2
                     set of starting values : 1
========================================================================
theta2 starting values:
   -2.586421   -0.616377    0.227579   -0.715240   -0.990075
 
 Iteration   Func-count     min f(x)         Procedure
     0            1          302.195         
     1            6          301.085         initial simplex
     2            8          289.869         expand
     3            9          289.869         reflect
     4           10          289.869         reflect
     5           11          289.869         reflect
     6           13          279.594         expand
     7           15          271.956         expand
     8           16          271.956         reflect
     9           17          271.956         reflect
    10           19          267.512         expand
    11           21          265.994         reflect
    12           22          265.994         reflect
    13           23          265.994         reflect
    14           24          265.994         reflect
    15           26          265.994         contract inside
    16           28          265.994         contract outside
    17           30          265.994         contract inside
    18           32            263.8         expand
    19           33            263.8         reflect
    20           35          262.606         expand
    21           36          262.606         reflect
    22           38          261.467         expand
    23           40          257.243         expand
    24           41          257.243         reflect
    25           42          257.243         reflect
    26           44          252.219         expand
    27           45          252.219         reflect
    28           46          252.219         reflect
    29           48          249.085         expand
    30           50          246.646         expand
    31           52          245.989         reflect
    32           53          245.989         reflect
    33           55          245.365         reflect
    34           56          245.365         reflect
    35           58          244.262         reflect
    36           60          244.262         contract inside
    37           62          244.262         contract inside
    38           63          244.262         reflect
    39           65          243.938         reflect
    40           66          243.938         reflect
    41           67          243.938         reflect
    42           69          243.653         reflect
    43           70          243.653         reflect
    44           71          243.653         reflect
    45           73          242.062         expand
    46           74          242.062         reflect
    47           75          242.062         reflect
    48           77          242.062         contract inside
    49           78          242.062         reflect
    50           80          242.062         contract inside
    51           81          242.062         reflect
    52           82          242.062         reflect
    53           83          242.062         reflect
    54           84          242.062         reflect
    55           86          242.062         contract inside
    56           88          242.062         contract inside
    57           90          241.734         reflect
    58           91          241.734         reflect
    59           92          241.734         reflect
    60           93          241.734         reflect
    61           95          241.734         contract inside
    62           97          241.734         contract inside
    63           98          241.734         reflect
    64           99          241.734         reflect
    65          106          241.734         shrink
    66          107          241.734         reflect
    67          114          241.734         shrink
    68          115          241.734         reflect
    69          116          241.734         reflect
    70          118          241.734         contract inside
    71          125          241.734         shrink
    72          126          241.734         reflect
    73          133          241.734         shrink
    74          134          241.734         reflect
    75          141          241.734         shrink
    76          142          241.734         reflect
    77          143          241.734         reflect
    78          144          241.734         reflect
    79          145          241.734         reflect
    80          146          241.734         reflect
    81          147          241.734         reflect
    82          154          241.734         shrink
    83          155          241.734         reflect
    84          162          241.734         shrink
    85          163          241.734         reflect
    86          165          241.734         contract inside
    87          167          241.734         contract inside
    88          169          241.734         contract inside
    89          176          241.734         shrink
    90          178          241.734         contract outside
    91          180          241.734         contract inside
    92          187          241.734         shrink
    93          188          241.734         reflect
    94          195          241.734         shrink
    95          196          241.734         reflect
    96          203          241.734         shrink
    97          204          241.734         reflect
    98          211          241.734         shrink
    99          212          241.734         reflect
   100          219          241.734         shrink
   101          220          241.734         reflect
   102          221          241.734         reflect
   103          228          241.734         shrink
   104          229          241.734         reflect
   105          230          241.734         reflect
   106          231          241.734         reflect
   107          232          241.734         reflect
   108          239          241.734         shrink
   109          241          241.734         contract outside
   110          243          241.734         contract inside
   111          245          241.734         contract outside
   112          246          241.734         reflect
   113          248          241.734         contract inside
   114          249          241.734         reflect
   115          251          241.734         contract inside
   116          258          241.734         shrink
   117          260          241.734         contract inside
   118          261          241.734         reflect
   119          263          241.734         contract outside
   120          264          241.734         reflect
   121          265          241.734         reflect
   122          266          241.734         reflect
   123          268          241.734         contract inside
   124          269          241.734         reflect
   125          271          241.734         contract inside
   126          278          241.734         shrink
   127          280          241.734         contract inside
   128          282          241.734         contract outside
   129          284          241.734         contract outside
   130          286          241.734         contract inside
   131          288          241.734         contract inside
   132          289          241.734         reflect
   133          290          241.734         reflect
   134          292          241.734         contract inside
   135          299          241.734         shrink
   136          301          241.734         contract inside
   137          303          241.734         contract inside
   138          304          241.734         reflect
   139          306          241.734         contract inside
   140          307          241.734         reflect
   141          308          241.734         reflect
   142          309          241.734         reflect
   143          311          241.734         contract inside
   144          318          241.734         shrink
   145          320          241.734         contract inside
   146          321          241.734         reflect
   147          323          241.734         contract outside
   148          324          241.734         reflect
   149          325          241.734         reflect
   150          327          241.734         contract inside
   151          328          241.734         reflect
   152          329          241.734         reflect
   153          331          241.734         contract inside
   154          333          241.734         contract inside
   155          340          241.734         shrink
   156          342          241.734         contract inside
   157          344          241.734         contract outside
   158          346          241.734         contract outside
   159          348          241.734         contract outside
   160          350          241.734         contract inside
   161          351          241.734         reflect
   162          352          241.734         reflect
   163          353          241.734         reflect
   164          355          241.734         contract inside
   165          356          241.734         reflect
   166          363          241.734         shrink
   167          364          241.734         reflect
   168          366          241.734         contract inside
   169          368          241.734         contract inside
   170          369          241.734         reflect
   171          370          241.734         reflect
   172          372          241.734         contract outside
   173          373          241.734         reflect
   174          374          241.734         reflect
   175          375          241.734         reflect
   176          377          241.734         contract inside
   177          384          241.734         shrink
   178          386          241.734         contract outside
   179          388          241.734         contract outside
   180          389          241.734         reflect
   181          391          241.734         contract inside
   182          392          241.734         reflect
   183          393          241.734         reflect
   184          395          241.734         contract inside
   185          396          241.734         reflect
   186          397          241.734         reflect
   187          398          241.734         reflect
   188          405          241.734         shrink
   189          406          241.734         reflect
   190          408          241.734         contract inside
   191          410          241.734         contract inside
   192          411          241.734         reflect
   193          412          241.734         reflect
   194          414          241.734         contract inside
   195          415          241.734         reflect
   196          417          241.734         contract inside
   197          419          241.734         contract inside
   198          426          241.734         shrink
   199          428          241.734         contract outside
   200          429          241.734         reflect
   201          431          241.734         contract inside
   202          432          241.734         reflect
   203          433          241.734         reflect
   204          434          241.734         reflect
   205          436          241.734         contract inside
   206          437          241.734         reflect
   207          439          241.734         contract inside
   208          446          241.734         shrink
   209          448          241.734         contract inside
   210          449          241.734         reflect
   211          451          241.734         contract inside
   212          452          241.734         reflect
   213          454          241.734         contract inside
   214          455          241.734         reflect
   215          456          241.734         reflect
   216          458          241.734         contract inside
   217          465          241.734         shrink
   218          467          241.734         contract outside
   219          469          241.734         contract outside
   220          470          241.734         reflect
   221          471          241.734         reflect
   222          472          241.734         reflect
   223          473          241.734         reflect
   224          474          241.734         reflect
   225          475          241.734         reflect
   226          477          241.734         contract inside
   227          478          241.734         reflect
   228          485          241.734         shrink
   229          487          241.734         contract inside
   230          489          241.734         contract outside
